Name,Date_of_birth,Opening_date,Expiry_date,Credit_limit,Statement_balance,Available_credit
James Menn,1965-03-08,2007-10-08,2012-10-08,49500.0,16237.1,33262.9
Rudolph Zuber,1964-05-02,2022-10-17,2027-10-17,96000.0,94281.95,1718.050000000003
James Smith,1974-06-10,2016-04-10,2021-04-10,92000.0,23552.43,68447.57
Glen Williams,1937-05-02,2003-06-09,2008-06-09,93000.0,89904.88,3095.1199999999953
Jason Benham,1921-09-11,2008-12-02,2013-12-02,8000.0,3275.75,4724.25
Justin Wagoner,1989-01-07,2018-10-11,2023-10-11,89500.0,84938.49,4561.509999999995
Jacqueline Salomone,1919-05-19,2010-01-12,2015-01-12,47500.0,12264.01,35235.99
Virgil Mello,1926-01-30,2017-04-03,2022-04-03,88000.0,16460.54,71539.45999999999
Jacqueline Heller,1949-12-06,2011-04-23,2016-04-23,50000.0,41953.13,8046.870000000003
Barbara Hines,1995-01-29,2022-03-05,2027-03-05,75500.0,29196.89,46303.11
Joseph Beeler,1940-01-04,2005-05-09,2010-05-09,54500.0,23892.78,30607.22
Mark Mills,1944-10-22,2010-07-29,2015-07-29,39500.0,15611.11,23888.89
Michael Butterworth,1926-04-11,2017-06-23,2022-06-23,31500.0,3097.53,28402.47
Victoria Brown,1985-02-24,2011-09-17,2016-09-17,34000.0,20494.86,13505.14
Teresa Brady,1963-07-25,2020-11-10,2025-11-10,18500.0,6981.85,11518.15
Stacy Wilson,1951-11-11,2006-09-29,2011-09-29,94500.0,74383.8,20116.199999999997
James Costello,1972-03-31,2010-02-27,2015-02-27,23000.0,4824.79,18175.21
Erica Breau,1992-01-16,2020-09-05,2025-09-05,48000.0,8552.96,39447.04
Lucy Yang,1960-04-18,2002-03-11,2007-03-11,86000.0,31673.12,54326.880000000005
Bonnie Gibson,1956-03-17,2002-12-20,2007-12-20,24500.0,6092.85,18407.15
Belinda Phillips,1931-07-30,2011-10-28,2016-10-28,79500.0,69452.76,10047.240000000005
Stephanie Lund,1945-06-23,2003-12-06,2008-12-06,59500.0,28245.04,31254.96
Donna Kennedy,1907-07-18,2002-04-11,2007-04-11,14000.0,11025.73,2974.2700000000004
Reginald Pierce,1962-05-29,2021-04-11,2026-04-11,72000.0,56859.39,15140.61
Laquita Smith,1975-11-14,2005-04-14,2010-04-14,72500.0,10644.16,61855.84
Melvin Simonis,1967-01-08,2012-02-26,2017-02-26,44500.0,25956.58,18543.42
David Ledet,1998-06-07,2019-04-04,2024-04-04,9500.0,1228.95,8271.05
Judith Shomo,1941-01-28,2018-09-29,2023-09-29,61000.0,58680.95,2319.050000000003
Theodora Brown,1981-07-20,2019-09-03,2024-09-03,44500.0,20783.59,23716.41
Edward Chambers,1992-07-26,2019-12-24,2024-12-24,45000.0,11342.24,33657.76
Roy Free,1932-02-28,2001-03-27,2006-03-27,54000.0,24126.05,29873.95
Patrick Tickle,1967-09-04,2002-11-28,2007-11-28,11500.0,8969.53,2530.4699999999993
Ramon Magnuson,1986-07-23,2018-12-08,2023-12-08,51000.0,13658.57,37341.43
Thomas Huang,1930-12-12,2019-05-01,2024-05-01,35500.0,12506.3,22993.7
Max Strohman,1900-12-13,2000-05-25,2005-05-25,26000.0,24073.54,1926.4599999999991
Brenda Jackson,1966-11-12,2001-11-06,2006-11-06,15000.0,1443.75,13556.25
Cynthia Hollis,1923-12-13,2018-10-05,2023-10-05,12000.0,10179.87,1820.1299999999992
Julia Grulkey,1987-05-21,2021-08-13,2026-08-13,77500.0,42025.4,35474.6
Saundra Parker,1944-10-10,2011-02-26,2016-02-26,62000.0,57356.4,4643.5999999999985
Mathew Durham,1995-10-25,2018-11-20,2023-11-20,11500.0,5950.91,5549.09
Karen Mercer,1964-08-03,2022-03-19,2027-03-19,73000.0,41939.4,31060.6
Melvin Livingston,1966-07-08,2011-11-13,2016-11-13,81000.0,22426.85,58573.15
James Garcia,1975-09-15,2012-07-22,2017-07-22,89500.0,83371.22,6128.779999999999
Kevin Garrison,1958-12-28,2012-01-26,2017-01-26,97000.0,71008.34,25991.660000000003
Kenneth Hill,1953-08-03,2013-07-11,2018-07-11,6500.0,2977.19,3522.81
Ramon Ford,1990-10-02,2019-09-13,2024-09-13,44000.0,20128.4,23871.6
Truman Parker,1948-01-20,2017-06-25,2022-06-25,100000.0,61969.76,38030.24
Avis Marshall,1932-10-01,2001-01-14,2006-01-14,20500.0,1793.31,18706.69
James Pickett,1949-12-04,2011-09-02,2016-09-02,33000.0,29012.79,3987.209999999999
Samuel Berryman,1968-04-05,2014-06-29,2019-06-29,30000.0,6757.58,23242.42
Lillie Milano,1991-06-11,2022-10-21,2027-10-21,88000.0,973.29,87026.71
Roy Barr,1957-05-15,2015-08-11,2020-08-11,53000.0,25532.09,27467.91
Alberta Mitchell,1932-01-18,2017-08-25,2022-08-25,79500.0,3490.59,76009.41
George Hopkins,1936-03-02,2020-09-24,2025-09-24,79500.0,442.99,79057.01
Elizabeth Chiarelli,1951-03-22,2019-07-24,2024-07-24,72000.0,7620.71,64379.29
Susan Tankersley,1931-08-29,2022-07-12,2027-07-12,89000.0,78807.02,10192.979999999996
Timothy Rowton,1936-12-06,2007-09-28,2012-09-28,72500.0,59131.26,13368.739999999998
Mary Augustine,1967-01-28,2000-07-12,2005-07-12,18500.0,14750.79,3749.209999999999
Fred Bursley,1972-06-11,2013-05-17,2018-05-17,78500.0,2431.84,76068.16
Aaron Patel,1944-02-11,2010-04-26,2015-04-26,29000.0,12315.31,16684.690000000002
Steven Cadle,1967-06-24,2011-12-17,2016-12-17,17000.0,8546.82,8453.18
Shawn Foy,1956-11-28,2006-09-04,2011-09-04,89500.0,79599.53,9900.470000000001
Kelly Crouch,1938-11-14,2014-03-18,2019-03-18,70500.0,49308.85,21191.15
Joseph Ridley,1969-02-23,2022-06-22,2027-06-22,72500.0,40291.87,32208.129999999997
Jennifer Walter,1925-11-20,2001-09-19,2006-09-19,44500.0,41925.11,2574.8899999999994
Jacob Hader,1957-04-13,2017-02-14,2022-02-14,92500.0,7364.22,85135.78
Winona Merrick,1972-08-25,2002-12-16,2007-12-16,90500.0,2628.08,87871.92
Jimmie Farlow,1935-09-12,2018-02-09,2023-02-09,6000.0,1394.23,4605.77
Valerie Craddock,1978-01-25,2008-10-31,2013-10-31,31500.0,2730.01,28769.989999999998
Rosa Barnes,1980-03-09,2004-07-21,2009-07-21,79000.0,49846.96,29153.04
Francis Gray,1972-09-25,2017-06-01,2022-06-01,95000.0,19798.21,75201.79000000001
Andrea Kimball,1925-04-12,2013-01-02,2018-01-02,65000.0,27692.9,37307.1
Betty Moss,1950-11-10,2017-09-30,2022-09-30,23000.0,17202.7,5797.299999999999
Maria Glover,1976-04-29,2017-05-03,2022-05-03,46000.0,8150.16,37849.84
Kathryn Walton,1920-09-18,2020-03-15,2025-03-15,98500.0,64899.2,33600.8
Mercedes Zanchez,1909-08-10,2002-11-22,2007-11-22,50500.0,32139.08,18360.92
Florencia Eikleberry,1956-05-30,2021-02-25,2026-02-25,13000.0,916.74,12083.26
Robin Winn,1959-10-30,2005-04-21,2010-04-21,98500.0,40005.59,58494.41
Emily Julien,1922-07-17,2013-06-28,2018-06-28,56000.0,11729.12,44270.88
Brooke Ivey,1993-01-31,2014-01-30,2019-01-30,80500.0,61510.03,18989.97
Robin Moore,1965-02-27,2015-02-08,2020-02-08,77000.0,69816.62,7183.380000000005
Christine Street,1969-05-06,2013-03-30,2018-03-30,36000.0,3980.78,32019.22
Janet Wheeler,1948-11-12,2011-05-06,2016-05-06,48500.0,7644.01,40855.99
Robert Gjertsen,1942-09-30,2013-03-23,2018-03-23,95000.0,78602.56,16397.440000000002
Olivia Bernal,1909-02-10,2007-10-28,2012-10-28,4000.0,1902.42,2097.58
Mildred Evangelista,1944-01-24,2019-07-01,2024-07-01,63000.0,42786.56,20213.440000000002
Leroy Walt,1922-07-29,2015-05-14,2020-05-14,33500.0,23377.13,10122.869999999999
Evelyn Hall,1988-09-09,2021-01-31,2026-01-31,66500.0,1207.69,65292.31
Frieda Houser,1993-02-25,2021-05-30,2026-05-30,49500.0,21846.38,27653.62
Melissa David,1980-04-08,2002-02-02,2007-02-02,95500.0,69480.14,26019.86
Janeen Golden,1940-07-12,2022-09-30,2027-09-30,42500.0,24507.47,17992.53
Patrice Stechlinski,1927-10-23,2003-08-28,2008-08-28,40000.0,16004.88,23995.120000000003
Brian Brown,1946-09-10,2013-03-15,2018-03-15,50000.0,47763.96,2236.040000000001
Teresa Deleon,1948-05-02,2015-03-17,2020-03-17,90500.0,82922.82,7577.179999999993
Beth Perry,1990-08-23,2018-09-17,2023-09-17,91000.0,64215.77,26784.230000000003
David Palmese,1959-07-10,2016-07-08,2021-07-08,58000.0,14711.37,43288.63
Scott Marroquin,1979-12-03,2003-01-19,2008-01-19,34000.0,13013.68,20986.32
Shannon Tracy,1919-10-05,2011-08-14,2016-08-14,57500.0,54633.47,2866.529999999999
Patrick Ervin,1953-09-02,2013-05-01,2018-05-01,23500.0,12707.61,10792.39
Danny Ryan,1973-09-01,2004-02-09,2009-02-09,43000.0,36497.72,6502.279999999999
Nicole Gray,1939-06-02,2008-02-01,2013-02-01,2000.0,1701.02,298.98
Carol Demar,1942-05-11,2012-07-31,2017-07-31,48500.0,26958.97,21541.03
Randi Hammett,1983-11-04,2022-06-20,2027-06-20,59500.0,46038.37,13461.629999999997
Bryan Braddy,1976-09-27,2010-01-27,2015-01-27,51000.0,46234.99,4765.010000000002
Kelsey Demelis,1960-01-14,2006-04-28,2011-04-28,36000.0,20148.97,15851.029999999999
Albert Alls,1930-07-10,2015-06-18,2020-06-18,36500.0,930.25,35569.75
Grant Fowles,1981-09-22,2011-11-18,2016-11-18,74500.0,48318.85,26181.15
Donna Leonard,1924-07-15,2000-07-08,2005-07-08,20500.0,3566.34,16933.66
Brenda Holcomb,1974-10-09,2009-12-20,2014-12-20,63500.0,40215.06,23284.940000000002
Julie Bugbee,1935-07-05,2019-01-31,2024-01-31,9000.0,4291.44,4708.56
Melissa Lee,1945-09-24,2021-11-27,2026-11-27,82500.0,73341.37,9158.630000000005
Otis Yancy,1960-08-04,2015-09-24,2020-09-24,70500.0,11495.09,59004.91
Martin Roy,1936-03-06,2006-01-25,2011-01-25,83500.0,50775.87,32724.129999999997
Patricia Guillen,1912-08-17,2008-03-24,2013-03-24,61500.0,11509.54,49990.46
Clarence Perry,1954-08-07,2018-08-02,2023-08-02,93000.0,75997.52,17002.479999999996
Stephane Wilson,1940-02-22,2013-03-08,2018-03-08,62500.0,3128.72,59371.28
Gary Davis,1917-08-20,2017-07-17,2022-07-17,61500.0,18530.12,42969.880000000005
Linda Fisher,1916-12-31,2000-03-29,2005-03-29,88500.0,45029.63,43470.37
William Beach,1927-03-29,2000-11-03,2005-11-03,54000.0,3299.33,50700.67
Herbert Carr,1955-04-01,2012-04-10,2017-04-10,43500.0,36703.65,6796.3499999999985
Rosalyn Ulibarri,1944-12-19,2010-09-27,2015-09-27,12500.0,8356.55,4143.450000000001
Linda Tallerico,1921-10-15,2011-01-07,2016-01-07,32500.0,15639.06,16860.940000000002
Karen Novak,1938-06-02,2018-01-23,2023-01-23,27000.0,21644.04,5355.959999999999
Michael Mitchell,1909-04-17,2004-01-22,2009-01-22,4000.0,2170.79,1829.21
Crystal Davis,1970-08-06,2009-11-24,2014-11-24,67500.0,33894.88,33605.12
Sue Buntin,1955-11-10,2010-03-06,2015-03-06,72000.0,20343.8,51656.2
Leroy Medeiros,1995-05-14,2022-06-13,2027-06-13,65000.0,30001.99,34998.009999999995
Kathryn Lindsey,1905-06-11,2005-04-13,2010-04-13,60500.0,23800.25,36699.75
Lamont Farrell,1958-02-13,2014-01-01,2019-01-01,77000.0,55616.03,21383.97
Mabel Tucker,1937-08-03,2014-07-21,2019-07-21,75000.0,70121.61,4878.389999999999
Herbert Marshall,1988-03-26,2019-03-29,2024-03-29,78500.0,48286.1,30213.9
Edward Griffin,1980-08-20,2005-03-25,2010-03-25,20500.0,14403.41,6096.59
Michael Friddle,1971-04-10,2018-02-04,2023-02-04,77500.0,3475.56,74024.44
Lottie Woods,1923-08-16,2006-09-30,2011-09-30,47000.0,5438.11,41561.89
Daniel Mccants,1961-11-12,2019-03-16,2024-03-16,36500.0,26242.15,10257.849999999999
Perry Cline,1998-02-05,2017-09-11,2022-09-11,30000.0,20101.63,9898.369999999999
Margaret Haynes,1906-03-06,2005-05-26,2010-05-26,21000.0,20743.96,256.0400000000009
Laurie Webb,1939-08-02,2009-03-12,2014-03-12,12500.0,6476.81,6023.19
John Williams,1977-06-22,2006-09-11,2011-09-11,43500.0,37390.93,6109.07
Steve Hanson,1950-01-05,2014-07-05,2019-07-05,84000.0,58747.34,25252.660000000003
Bobbie Boyd,1936-07-16,2016-09-27,2021-09-27,12000.0,4105.27,7894.73
Raymond Purcell,1937-03-31,2005-12-06,2010-12-06,73000.0,59051.84,13948.160000000003
John Martinez,1986-07-13,2008-08-24,2013-08-24,44500.0,17590.27,26909.73
Jeannette Abernathy,1925-02-12,2006-05-01,2011-05-01,95500.0,4641.6,90858.4
Amelia Cruz,1944-07-13,2005-12-29,2010-12-29,54000.0,14826.62,39173.38
Samuel Flath,1943-09-24,2015-09-11,2020-09-11,56500.0,19750.97,36749.03
Mark Rangel,1908-04-24,2000-09-03,2005-09-03,63500.0,58672.94,4827.059999999998
Ana Williams,1921-05-04,2004-07-18,2009-07-18,18500.0,18282.81,217.1899999999987
Elizabeth Speas,1961-03-06,2004-03-05,2009-03-05,90500.0,72897.49,17602.509999999995
Donna Pierce,1990-12-08,2022-12-22,2027-12-22,45000.0,13493.05,31506.95
Ruth Martin,1984-03-10,2014-01-03,2019-01-03,7500.0,2248.63,5251.37
Laurice Brown,1978-01-04,2017-10-07,2022-10-07,74500.0,1592.68,72907.32
Sandra True,1952-07-19,2022-02-04,2027-02-04,50000.0,48222.86,1777.1399999999994
James Jackson,1970-06-11,2018-07-24,2023-07-24,93000.0,58437.51,34562.49
Cora Ralph,1944-05-04,2002-10-10,2007-10-10,67000.0,19019.37,47980.630000000005
Angela Nolette,1952-09-27,2007-07-14,2012-07-14,43000.0,39132.41,3867.5899999999965
Tiffaney Marotti,1949-12-05,2008-08-03,2013-08-03,56000.0,3456.36,52543.64
James Hardy,1908-12-11,2006-03-18,2011-03-18,12000.0,8363.28,3636.7199999999993
Russell Swain,1984-05-08,2006-09-29,2011-09-29,8000.0,1480.4,6519.6
Dana Gross,1925-12-08,2012-05-27,2017-05-27,55500.0,44138.59,11361.410000000003
John Schumacher,1914-07-14,2007-01-29,2012-01-29,60500.0,18085.61,42414.39
Jody Schad,1951-08-19,2003-07-19,2008-07-19,47500.0,7449.33,40050.67
James Fortier,1988-05-26,2017-08-20,2022-08-20,11500.0,3737.03,7762.969999999999
Blanca Dickerson,1957-08-06,2019-01-11,2024-01-11,58000.0,20984.65,37015.35
Lianne Cohrs,1955-11-07,2002-06-15,2007-06-15,30500.0,5718.78,24781.22
Hattie Kelling,1972-07-01,2003-05-12,2008-05-12,86500.0,51752.67,34747.33
Emily Bates,1943-09-30,2000-12-25,2005-12-25,53000.0,6557.66,46442.34
Nellie Wright,1989-09-09,2009-04-02,2014-04-02,89500.0,45606.91,43893.09
Fernando Bowden,1953-02-17,2022-02-19,2027-02-19,51500.0,735.41,50764.59
Carmen Kounthapanya,1970-07-30,2012-02-25,2017-02-25,88000.0,13101.87,74898.13
Kathleen Berumen,1983-09-01,2011-01-19,2016-01-19,66500.0,61154.75,5345.25
Stephen Riendeau,1915-11-20,2013-01-15,2018-01-15,73000.0,36609.08,36390.92
Rhonda Kuehnle,1925-01-19,2003-06-08,2008-06-08,13000.0,9486.98,3513.0200000000004
Sandra Matteo,1989-06-03,2018-12-19,2023-12-19,42500.0,34268.77,8231.230000000003
Darlene Clyde,1986-09-05,2015-09-30,2020-09-30,8000.0,6708.48,1291.5200000000004
Nelson White,1933-07-12,2013-07-10,2018-07-10,85500.0,4139.46,81360.54
Denise Rodriguez,1940-01-29,2020-04-12,2025-04-12,51000.0,48201.05,2798.949999999997
Samantha Irwin,1931-12-09,2009-03-14,2014-03-14,85000.0,30966.55,54033.45
Diane Lewis,2001-05-04,2022-08-30,2027-08-30,79000.0,41908.31,37091.69
Don Teasley,1918-11-07,2013-02-06,2018-02-06,23000.0,5080.43,17919.57
Daniel Hodges,1949-05-14,2006-01-20,2011-01-20,32500.0,11863.96,20636.04
William Keitt,1931-10-17,2009-05-01,2014-05-01,49000.0,43108.71,5891.290000000001
Michael Ammerman,1977-05-08,2006-10-17,2011-10-17,48000.0,24924.48,23075.52
Arthur Ali,1952-06-05,2007-12-19,2012-12-19,90500.0,49944.43,40555.57
Salvador Ebert,1951-05-26,2017-02-06,2022-02-06,98000.0,93306.11,4693.889999999999
Jesus Dyches,1943-05-17,2021-06-24,2026-06-24,96000.0,82462.11,13537.89
Ruth Kenyon,1920-09-23,2007-10-28,2012-10-28,26000.0,6767.09,19232.91
Stephanie Godwin,1976-01-08,2000-04-09,2005-04-09,84500.0,68363.15,16136.850000000006
David Cho,1922-04-30,2017-10-29,2022-10-29,17500.0,2082.47,15417.53
Virginia Freetage,1921-01-08,2006-03-30,2011-03-30,75000.0,36155.23,38844.77
Cody Mickelson,1975-04-29,2005-11-12,2010-11-12,10500.0,2602.38,7897.62
Charles James,1994-12-16,2018-07-28,2023-07-28,23500.0,20751.05,2748.9500000000007
Brian Short,1951-11-24,2014-07-08,2019-07-08,27500.0,6710.18,20789.82
Stephen Turner,1977-05-04,2014-01-28,2019-01-28,2500.0,1799.11,700.8900000000001
Jayne Hirsh,1976-05-04,2021-12-06,2026-12-06,44000.0,25944.88,18055.12
Laura Foote,1960-05-23,2014-11-10,2019-11-10,89000.0,31968.19,57031.81
Terri Santos,1922-05-27,2009-11-02,2014-11-02,1000.0,949.83,50.16999999999996
Moshe Pritchard,1927-09-19,2004-09-25,2009-09-25,90500.0,88505.32,1994.679999999993
Daniel Jones,1914-06-14,2007-02-19,2012-02-19,59000.0,329.58,58670.42
Claudia Redden,1993-09-06,2016-02-14,2021-02-14,7000.0,1494.2,5505.8
Ashley Philpot,1926-03-07,2002-10-25,2007-10-25,66000.0,11831.09,54168.91
Sharon Godbey,1930-12-20,2013-10-21,2018-10-21,11500.0,1837.56,9662.44
Kathleen Bailey,1958-07-12,2007-07-09,2012-07-09,52500.0,51703.1,796.9000000000015
William Turner,1912-01-07,2004-01-02,2009-01-02,15500.0,9442.54,6057.459999999999
Adam Olander,1943-11-11,2000-08-31,2005-08-31,95000.0,75971.41,19028.589999999997
Gloria Bushnell,1974-04-09,2000-08-04,2005-08-04,71000.0,38731.44,32268.559999999998
Tammy Ryder,1922-05-08,2015-12-05,2020-12-05,88500.0,81593.04,6906.960000000006
Donald Johnson,1985-10-18,2021-12-10,2026-12-10,57000.0,26062.39,30937.61
Sean Johnson,1937-10-17,2019-01-30,2024-01-30,38500.0,3885.95,34614.05
Charles Messer,1963-01-13,2007-02-13,2012-02-13,4000.0,3435.95,564.0500000000002
Joseph Mcdermott,1993-11-30,2018-07-27,2023-07-27,19000.0,10229.91,8770.09
Marianne Innocent,1963-03-13,2003-04-11,2008-04-11,84500.0,23248.76,61251.240000000005
Joseph Smith,1976-09-20,2014-12-02,2019-12-02,24500.0,3073.75,21426.25
Dorothy Kirkpatrick,1915-06-11,2000-09-28,2005-09-28,29500.0,7099.03,22400.97
James Harrison,1964-01-26,2003-08-22,2008-08-22,75000.0,36650.83,38349.17
Tanya Pew,1968-07-05,2017-02-23,2022-02-23,48500.0,2500.94,45999.06
Kim Meagher,1911-01-27,2007-05-06,2012-05-06,8000.0,2677.2,5322.8
Humberto Gould,1970-11-14,2015-08-28,2020-08-28,37500.0,5076.73,32423.27
Joe Coleman,1927-05-06,2004-08-25,2009-08-25,23500.0,15614.2,7885.799999999999
Johnny Baggett,1914-01-04,2000-05-09,2005-05-09,90500.0,18125.75,72374.25
Jonathan Reeves,1934-01-10,2003-03-16,2008-03-16,65000.0,31547.94,33452.06
Gina Logan,1958-02-17,2019-05-04,2024-05-04,83500.0,27755.53,55744.47
Dale Smith,1958-01-07,2008-04-19,2013-04-19,24000.0,8013.96,15986.04
Thomas Mendoza,1973-06-16,2022-11-02,2027-11-02,53000.0,8360.81,44639.19
Steve Boyd,1985-03-05,2005-12-04,2010-12-04,3500.0,1971.16,1528.84
Emery Depedro,1989-03-10,2009-07-02,2014-07-02,44500.0,16606.51,27893.49
Julie Campbell,1942-01-26,2019-04-27,2024-04-27,68000.0,1255.55,66744.45
Michael Scully,1928-09-28,2005-05-25,2010-05-25,50500.0,7654.32,42845.68
Robert Wignall,1934-08-13,2015-09-02,2020-09-02,52500.0,36670.4,15829.599999999999
Rafael Crowe,1983-10-03,2018-10-29,2023-10-29,13000.0,7702.35,5297.65
Mary Ellman,1917-09-10,2000-10-30,2005-10-30,15500.0,11478.56,4021.4400000000005
Linda Johnson,1934-02-08,2006-10-24,2011-10-24,56000.0,48864.34,7135.6600000000035
Katherine Ramos,1947-03-13,2011-04-21,2016-04-21,32000.0,9230.75,22769.25
James Bejaran,1948-10-31,2000-12-29,2005-12-29,25500.0,16336.47,9163.53
Lamar Lebovic,1918-09-30,2009-03-25,2014-03-25,10000.0,5184.11,4815.89
Arminda Johnson,1983-09-04,2021-03-26,2026-03-26,40500.0,33967.03,6532.970000000001
Lina Sterling,1980-11-28,2005-03-22,2010-03-22,98000.0,12504.73,85495.27
Ruby Ferris,1978-06-02,2002-01-10,2007-01-10,99500.0,98164.04,1335.9600000000064
David Johnson,1962-05-14,2016-12-08,2021-12-08,60500.0,19224.22,41275.78
Bennie Westbrook,1974-09-08,2012-11-10,2017-11-10,20000.0,10890.57,9109.43
John Ashburn,1942-04-14,2015-01-26,2020-01-26,58000.0,15204.72,42795.28
Janet Brode,1943-11-20,2005-04-03,2010-04-03,86000.0,55166.36,30833.64
Kara Powell,1979-10-10,2007-03-20,2012-03-20,17000.0,733.21,16266.79
Isiah Gentry,1913-12-18,2012-03-29,2017-03-29,58500.0,47742.29,10757.71
Caren Lowe,1972-02-14,2001-07-07,2006-07-07,9500.0,4539.08,4960.92
Roberta Short,1936-05-01,2009-04-03,2014-04-03,44500.0,24056.1,20443.9
Leon Doerr,1964-02-05,2007-10-12,2012-10-12,58000.0,53707.29,4292.709999999999
Gerald Brown,1977-10-27,2016-05-09,2021-05-09,15500.0,11591.81,3908.1900000000005
Isaac Prince,1944-05-02,2006-04-06,2011-04-06,67000.0,52767.12,14232.879999999997
Bernard Carter,1945-05-19,2010-05-21,2015-05-21,10000.0,4240.97,5759.03
Leroy Mccoy,1914-03-22,2009-04-14,2014-04-14,63000.0,33838.53,29161.47
Bryant Shreffler,1971-07-10,2014-12-13,2019-12-13,24500.0,12409.05,12090.95
Florence Butler,1920-07-11,2020-06-11,2025-06-11,7000.0,3133.72,3866.28
Mary Murphy,1970-07-10,2004-02-26,2009-02-26,68000.0,39967.33,28032.67
Eva Mcknight,1973-05-13,2007-08-07,2012-08-07,30500.0,13977.87,16522.129999999997
Andrea Bear,1912-02-23,2012-01-16,2017-01-16,31000.0,6229.2,24770.8
Dina Baker,1922-12-12,2020-06-06,2025-06-06,29500.0,3171.91,26328.09
Brian Sotak,1966-12-26,2002-10-01,2007-10-01,94000.0,81600.36,12399.64
Marion Locker,1927-12-15,2017-12-02,2022-12-02,93000.0,84665.58,8334.419999999998
Queen Anderman,1938-09-16,2001-09-25,2006-09-25,70500.0,69899.21,600.7899999999936
Chris Callahan,1978-06-15,2004-04-13,2009-04-13,28000.0,6364.73,21635.27
Charles Laughman,1920-09-22,2012-04-26,2017-04-26,96000.0,23445.93,72554.07
Houston Pope,1966-03-07,2002-09-29,2007-09-29,98500.0,96611.42,1888.5800000000017
William Vick,1967-12-11,2008-02-10,2013-02-10,23500.0,10844.09,12655.91
Mary Jernigan,1981-03-30,2007-01-11,2012-01-11,64000.0,53346.94,10653.059999999998
Larry Barraclough,1911-01-05,2007-10-06,2012-10-06,30000.0,7245.24,22754.760000000002
Glenn Stephens,1980-10-13,2022-07-24,2027-07-24,37500.0,23095.05,14404.95
Sean Johnson,1971-05-06,2009-11-22,2014-11-22,52000.0,23018.62,28981.38
Edward Chatman,1944-05-14,2005-04-21,2010-04-21,39000.0,11218.12,27781.879999999997
Irene Viverette,1964-01-09,2018-01-05,2023-01-05,26500.0,23548.09,2951.91
David Jones,1943-06-11,2001-05-21,2006-05-21,48500.0,30701.3,17798.7
Gladys Aleman,1910-06-20,2003-06-11,2008-06-11,96500.0,3660.31,92839.69
Angela Robinson,1951-05-11,2003-09-19,2008-09-19,22500.0,10838.82,11661.18
Leopoldo Williams,1924-07-03,2002-04-12,2007-04-12,1500.0,544.66,955.34
William Ellis,1952-04-18,2010-02-25,2015-02-25,43000.0,15385.22,27614.78
Alina Clair,1975-01-07,2008-06-28,2013-06-28,48500.0,42762.04,5737.959999999999
